ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
13,Bolívar,13001,Cartagena De Indias,13001017,Santa Cruz Del Islote (Cartagena De Indias - Bolívar),2024,7,13868,4464.0,54.18,Viernes,2024-07-12 22:15:00,10.15
18,Caquetá,18150,Cartagena Del Chaira,18150001,Remolino Del Caguan (Cartagena Del Chaira - Caquetá),2024,7,11716,5089.0,104.75,Martes,2024-07-09 19:45:00,4.3
18,Caquetá,18150,Cartagena Del Chaira,18150002,Santa Fe Del Caguan (Cartagena Del Chaira - Caquetá),2024,7,3571,1667.0,40.64,Viernes,2024-07-12 18:45:00,3.42
18,Caquetá,18753,San Vicente del Caguán,18753002,Guacamayas (San Vicente del Caguán - Caquetá),2024,7,2672,976.0,27.84,Lunes,2024-07-01 19:30:00,5.01
19,Cauca,19318,Guapi,19318008,Limones (Guapi - Cauca),2024,7,4288,1882.0,45.28,Viernes,2024-07-05 19:45:00,4.08
19,Cauca,19318,Guapi,19318013,San Antonio De Guajui (Guapi - Cauca),2024,7,11284,6147.0,55.81,Viernes,2024-07-26 19:00:00,8.23
19,Cauca,19418,López de Micay,19418009,Noanamito (López De Micay - Cauca),2024,7,6151,2827.0,40.0,Sábado,2024-07-13 19:15:00,6.42
19,Cauca,19809,Timbiquí,19809014,Chacon (Timbiquí - Cauca),2024,7,4464,1154.0,22.22,Domingo,2024-07-21 20:30:00,8.35
19,Cauca,19809,Timbiquí,19809003,Coteje (Timbiquí - Cauca),2024,7,5913,4186.0,29.88,Jueves,2024-07-11 19:30:00,7.45
19,Cauca,19809,Timbiquí,19809007,San Jose (Timbiquí - Cauca),2024,7,6046,4222.0,34.58,Lunes,2024-07-15 19:45:00,6.49
